Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,30800.000000,30900.000000,30400.000000,30500.000000,30473.498047,1205235
2020-01-03,30700.000000,31000.000000,30200.000000,30500.000000,30473.498047,1574240
2020-01-06,30100.000000,31000.000000,30000.000000,30900.000000,30873.152344,1968575
2020-01-07,31000.000000,32000.000000,30900.000000,32000.000000,31972.195313,4200930
2020-01-08,31700.000000,32400.000000,31300.000000,31900.000000,31872.283203,4258095
2020-01-09,32700.000000,33100.000000,32500.000000,32800.000000,32771.500000,4391595
2020-01-10,33000.000000,33300.000000,32600.000000,33000.000000,32971.324219,2009530
2020-01-13,33100.000000,33500.000000,33000.000000,33400.000000,33370.976563,2378335
2020-01-14,33500.000000,33700.000000,33100.000000,33400.000000,33370.976563,2116430
2020-01-15,33400.000000,34100.000000,33300.000000,34000.000000,33970.457031,2310595
2020-01-16,34000.000000,34400.000000,34000.000000,34300.000000,34270.195313,1300245
2020-01-17,34300.000000,34500.000000,33600.000000,33700.000000,33670.718750,1773620
2020-01-20,33800.000000,34000.000000,33400.000000,33700.000000,33670.718750,1902550
2020-01-21,33700.000000,33800.000000,32700.000000,33000.000000,32971.324219,1945775
2020-01-22,33200.000000,33800.000000,32900.000000,33200.000000,33171.152344,2521750
2020-01-23,33600.000000,33600.000000,32900.000000,33100.000000,33071.238281,1617100
2020-01-28,32000.000000,32700.000000,31900.000000,32500.000000,32471.759766,2566140
2020-01-29,33100.000000,33200.000000,32500.000000,32700.000000,32671.585938,1275835
2020-01-30,32600.000000,33100.000000,32100.000000,32400.000000,32371.847656,2094540
2020-01-31,32500.000000,32800.000000,31700.000000,31800.000000,31772.367188,1730335
2020-02-03,31200.000000,32100.000000,31200.000000,31900.000000,31872.283203,2119535
2020-02-04,32300.000000,33100.000000,32100.000000,32900.000000,32871.410156,1973865
2020-02-05,33300.000000,33400.000000,32300.000000,32600.000000,32571.673828,2284770
2020-02-06,33100.000000,33600.000000,32700.000000,33200.000000,33171.152344,2760220
2020-02-07,33400.000000,34100.000000,33200.000000,33500.000000,33470.890625,2610500
2020-02-10,33500.000000,33900.000000,33200.000000,33800.000000,33770.632813,1876045
2020-02-11,33800.000000,34000.000000,33600.000000,34000.000000,33970.457031,1535600
2020-02-12,33900.000000,34400.000000,33600.000000,34400.000000,34370.109375,2039585
2020-02-13,34900.000000,36300.000000,34700.000000,35800.000000,35768.894531,9389900
2020-02-14,36200.000000,36900.000000,35800.000000,36000.000000,35968.718750,4740425
2020-02-17,36000.000000,36400.000000,35800.000000,36100.000000,36068.632813,1647040
2020-02-18,36100.000000,36700.000000,35800.000000,36400.000000,36368.371094,2936265
2020-02-19,36800.000000,38100.000000,36700.000000,38000.000000,37966.984375,6814990
2020-02-20,38100.000000,38300.000000,37600.000000,38100.000000,38066.894531,2737025
2020-02-21,37700.000000,38300.000000,37500.000000,37900.000000,37867.070313,2792485
2020-02-24,36900.000000,37200.000000,36400.000000,36700.000000,36668.109375,3963665
2020-02-25,36400.000000,37200.000000,36000.000000,37100.000000,37067.761719,2983815
2020-02-26,36700.000000,37100.000000,36300.000000,36800.000000,36768.023438,2581890
2020-02-27,36800.000000,37100.000000,35300.000000,35700.000000,35668.980469,3925310
2020-02-28,34900.000000,35300.000000,34100.000000,34400.000000,34370.109375,5114585
2020-03-02,34900.000000,35300.000000,33900.000000,35000.000000,34969.585938,3967475
2020-03-03,36100.000000,36200.000000,35000.000000,35000.000000,34969.585938,3145085
2020-03-04,34800.000000,36200.000000,34800.000000,35900.000000,35868.808594,3545940
2020-03-05,36500.000000,36600.000000,35300.000000,35900.000000,35868.808594,4108720
2020-03-06,35300.000000,35700.000000,34800.000000,35100.000000,35069.500000,2842120
2020-03-09,35100.000000,35100.000000,35100.000000,35100.000000,35069.500000,0
2020-03-10,32900.000000,34900.000000,32800.000000,34600.000000,34569.937500,4754375
2020-03-11,34400.000000,34900.000000,33400.000000,33800.000000,33770.632813,2751135
2020-03-12,33400.000000,33800.000000,31700.000000,32200.000000,32172.021484,6090350
2020-03-13,30000.000000,32300.000000,29000.000000,31800.000000,31772.367188,8009925
2020-03-16,32400.000000,32800.000000,29500.000000,29500.000000,29474.367188,6262420
2020-03-17,28200.000000,30100.000000,28000.000000,29500.000000,29474.367188,6105230
2020-03-18,29700.000000,30400.000000,28100.000000,28200.000000,28175.496094,5537635
2020-03-19,29100.000000,29400.000000,25500.000000,26800.000000,26776.712891,10785705
2020-03-20,27600.000000,30200.000000,26900.000000,29900.000000,29874.019531,8828780
2020-03-23,27600.000000,29600.000000,27500.000000,28700.000000,28675.062500,7846890
2020-03-24,30100.000000,31000.000000,29400.000000,30900.000000,30873.152344,6356935
2020-03-25,32100.000000,32500.000000,30200.000000,30900.000000,30873.152344,6451880
2020-03-26,31000.000000,31200.000000,30000.000000,30100.000000,30073.845703,4468440
2020-03-27,31300.000000,31400.000000,29800.000000,30500.000000,30473.498047,4794940
2020-03-30,29900.000000,30900.000000,29500.000000,30600.000000,30573.410156,3341270
2020-03-31,31000.000000,31800.000000,30400.000000,31100.000000,31072.976563,5212370
2020-04-01,31200.000000,31700.000000,30000.000000,30100.000000,30073.845703,3971475
2020-04-02,30400.000000,31400.000000,29800.000000,31400.000000,31372.716797,5218950
2020-04-03,31700.000000,31800.000000,31000.000000,31500.000000,31472.628906,2728745
2020-04-06,31700.000000,32200.000000,31500.000000,32100.000000,32072.109375,4039025
2020-04-07,32700.000000,32900.000000,31700.000000,32000.000000,31972.195313,4603990
2020-04-08,31800.000000,32100.000000,31600.000000,31600.000000,31572.542969,3691515
2020-04-09,32200.000000,32200.000000,31500.000000,31600.000000,31572.542969,3634600
2020-04-10,31700.000000,32300.000000,31400.000000,32200.000000,32172.021484,3766615
2020-04-13,32200.000000,32200.000000,31400.000000,31500.000000,31472.628906,2351255
2020-04-14,31900.000000,32100.000000,31600.000000,31900.000000,31872.283203,2153795
2020-04-16,31800.000000,33400.000000,31700.000000,33100.000000,33071.238281,5027665
2020-04-17,33800.000000,34500.000000,33500.000000,34400.000000,34370.109375,4738970
2020-04-20,34500.000000,35800.000000,34400.000000,35000.000000,34969.585938,4296515
2020-04-21,35300.000000,35500.000000,33700.000000,35100.000000,35069.500000,6160630
2020-04-22,34800.000000,35400.000000,34300.000000,35400.000000,35369.238281,3430730
2020-04-23,36300.000000,37300.000000,36100.000000,37100.000000,37067.761719,7548995
2020-04-24,36900.000000,37700.000000,36400.000000,36600.000000,36568.199219,5368420
2020-04-27,36600.000000,37400.000000,36300.000000,36800.000000,36768.023438,3609815
2020-04-28,37100.000000,37300.000000,36300.000000,37000.000000,36967.851563,3343190
2020-04-29,36800.000000,37300.000000,36500.000000,36800.000000,36768.023438,3297560
2020-05-04,36300.000000,38000.000000,36000.000000,37300.000000,37267.589844,5097045
2020-05-06,37800.000000,40000.000000,37600.000000,39900.000000,39865.328125,10179735
2020-05-07,39900.000000,41500.000000,39700.000000,41200.000000,41164.199219,13148545
2020-05-08,41300.000000,42000.000000,40800.000000,41200.000000,41164.199219,7027020
2020-05-11,41400.000000,42300.000000,41300.000000,41500.000000,41463.941406,5242065
2020-05-12,41800.000000,43300.000000,41200.000000,42900.000000,42862.722656,7815475
2020-05-13,42300.000000,43300.000000,42300.000000,43300.000000,43262.375000,5568040
2020-05-14,43200.000000,45600.000000,42800.000000,45000.000000,44960.898438,7299065
2020-05-15,45700.000000,46300.000000,43200.000000,44300.000000,44261.503906,7620415
2020-05-18,44300.000000,45100.000000,43700.000000,44200.000000,44161.593750,3722665
2020-05-19,44300.000000,44500.000000,42800.000000,44000.000000,43961.765625,6544515
2020-05-20,44700.000000,46900.000000,44400.000000,46300.000000,46259.769531,8869800
2020-05-21,47500.000000,48000.000000,46900.000000,47500.000000,47458.726563,7043685
2020-05-22,47500.000000,49700.000000,47000.000000,49400.000000,49357.078125,9435320
2020-05-25,50200.000000,54000.000000,49800.000000,53600.000000,53553.425781,13268880
2020-05-26,54700.000000,55900.000000,52200.000000,54000.000000,53953.078125,16371465
2020-05-27,52400.000000,53400.000000,51400.000000,52100.000000,52054.730469,10079870
2020-05-28,51500.000000,54000.000000,50500.000000,53400.000000,53353.601563,12475240
2020-05-29,52700.000000,53500.000000,51500.000000,52700.000000,52654.207031,8229110
2020-06-01,52700.000000,53200.000000,51900.000000,52800.000000,52754.121094,5418490
2020-06-02,52500.000000,52600.000000,51400.000000,51900.000000,51854.902344,4894230
2020-06-03,51900.000000,52300.000000,49500.000000,49900.000000,49856.640625,11511955
2020-06-04,49500.000000,51400.000000,49400.000000,50800.000000,50755.863281,6144750
2020-06-05,50600.000000,50700.000000,49500.000000,50200.000000,50156.378906,5036320
2020-06-08,50500.000000,51600.000000,49700.000000,51300.000000,51255.425781,7085390
2020-06-09,51100.000000,51900.000000,50500.000000,50900.000000,50855.773438,4174310
2020-06-10,51300.000000,52700.000000,51300.000000,52400.000000,52354.468750,7877260
2020-06-11,52800.000000,53600.000000,52200.000000,53000.000000,52953.949219,8622755
2020-06-12,51300.000000,53600.000000,51200.000000,53200.000000,53153.777344,8444875
2020-06-15,53200.000000,54200.000000,50000.000000,50500.000000,50456.117188,7746150
2020-06-16,52100.000000,52600.000000,51600.000000,52600.000000,52554.292969,4577280
2020-06-17,52300.000000,53600.000000,51600.000000,52600.000000,52554.292969,5811020
2020-06-18,52900.000000,53400.000000,52100.000000,52700.000000,52654.207031,4905720
2020-06-19,53500.000000,53900.000000,52400.000000,52700.000000,52654.207031,4600630
2020-06-22,52700.000000,55200.000000,52100.000000,54800.000000,54752.382813,10043280
2020-06-23,55800.000000,57800.000000,55400.000000,56300.000000,56251.082031,10831335
2020-06-24,56300.000000,56800.000000,55000.000000,56500.000000,56450.906250,5406165
2020-06-25,55700.000000,56400.000000,54700.000000,54900.000000,54852.296875,4501290
2020-06-26,55900.000000,56000.000000,53600.000000,54900.000000,54852.296875,4063630
2020-06-29,53800.000000,54700.000000,53200.000000,53500.000000,53453.515625,3894090
2020-06-30,54400.000000,54600.000000,53500.000000,53500.000000,53453.515625,3120445
