,제목,날짜
250,"""디지털 기술로 기업간 합종연횡 가속화"" [제23회 서울국제금융포럼]",2022.04.14.
251,오늘의 증시 일정 (4월 19일),2022.04.14.
252,"5부능선 앞둔 망 이용대가법, 논의 향방은",2022.04.14.
253,"타다, 대형택시 호출 서비스 ‘타다 넥스트’로 재시동",2022.04.14.
254,삼성·LG·네이버 이어 카카오도…AI 스타트업 '노타'에 꽂혔다,2022.04.14.
255,남들 다 하는 ‘사잇돌 대출’ 카뱅은 왜 중단했을까,2022.04.14.
256,연봉인상 경쟁 부메랑… 네이버·카카오 1분기 실적 주춤할듯,2022.04.14.
257,"꾸그 운영사 글로랑, 카카오 출신 오승하 최고사업책임자 영입",2022.04.14.
258,출첵·걷기 등 미션 성공하면 15분만에 5700원어치 포인트,2022.04.14.
259,‘유부녀 킬러’… “설거지하다 아이디어 떠올랐죠”,2022.04.14.
260,"SPC그룹 섹타나인, 온라인쇼핑몰 플랫폼 ‘조이온샵’ 오픈",2022.04.14.
261,'금융 콘텐츠' 꽂힌 빅테크들…인재 확보 경쟁 본격화,2022.04.14.
262,"[뉴스줌인]엔데믹 전환, 기업 일상 회복도 속도",2022.04.14.
263,[朝鮮칼럼 The Column] 새 정부 최대의 敵은 인플레이션,2022.04.14.
264,2021년 메신저 이용 피싱 '급증' 피해액 991억… 1년새 166%↑,2022.04.14.
265,카카오·네이버 두 자릿수 임금 인상에…속 앓는 삼성전자,2022.04.14.
266,"신길우성1차·건영, 안전진단 통과..신길뉴타운 재건축 속도",2022.04.14.
267,"직장인 1000만명, 이번달 건보료 20만원 더 뗀다",2022.04.14.
268,[시론] 한국의 GAFA는 언제 나오나?,2022.04.14.
269,"화재 감지기만 3만개… “롯데월드타워 안전기술, 세계 초고층 빌딩의 모범”",2022.04.14.
270,잇단 악재에… 상장사 목표주가 하향조정 속출,2022.04.14.
271,"티맥스티베로, 'HyperSQL'로 오픈소스 DBMS 공략",2022.04.14.
272,"""무야호~""이은 '무도 레전드'도 NFT로…팬심 충전하는 'N터사업'",2022.04.14.
273,[씨줄날줄] 6070의 인터넷/박현갑 논설위원,2022.04.14.
274,"빅테크가 훼손한 인간적 가치, 회복할 길은 기술을 통제하는 민주주의···‘시스템 에러’[책과 삶]",2022.04.14.
275,"[안경애의 온테크] 로코드·노코드, `개발자 품귀` 해법 될까",2022.04.14.
276,"경희대 MBA, 메타버스·디자인싱킹·AI…4차 산업혁명시대 맞춤형 교육",2022.04.14.
277,[포토] 매경·환경재단 ESG포럼,2022.04.14.
278,"[人사이트]박주용 기업은행 디지털그룹장, “쉽고 빠르고 편리한 디지털 IBK로 혁신”",2022.04.14.
279,[DT현장] 신한지주 회장의 `제로 성과급`,2022.04.14.
280,이제까지 이런 크롤링 소송 없었다…네이버 열받게한 스타트업 [팩플],2022.04.15.
281,"[데스크가 만났습니다] 박성호 인터넷기업협회 회장 ""규제 홍수 막겠다""",2022.04.15.
282,"소득·일자리 양극화에 계층·성별 갈등 격화…""공동체성 회복 나서야""",2022.04.15.
283,<뉴스와 시각>TBS에 세금 퍼부을 이유 없다,2022.04.15.
284,AI로 ‘지능형 공정·입체물류’시스템 강화…생산성·안전 ‘두토끼’,2022.04.15.
285,"“사생활 침해 우려” 페북 끊고, 익명성 보장 ‘메타버스’로",2022.04.15.
286,[IITP 리뷰 1]기업들 NFT로 헤쳐모여…관심만큼 우려도 높아,2022.04.15.
287,"게임업계 첫 웹젠 파업 선언, 카카오·넥슨 노조도 연대 나서",2022.04.15.
288,"“엄마, 내 휴대전화가 고장났어…” ‘메신저피싱’에 작년 990억 털렸다",2022.04.15.
289,"취준생 ""인지도보단 높은 연봉 원해""…카카오게임즈, 입사선호 3N 앞질러",2022.04.15.
290,"‘사내맞선’ 김세정, 배우로서의 역량 다져나가다",2022.04.15.
291,[단독]방화범 구치소서 PCR 검사 대기중 극단선택…부실관리 도마위,2022.04.15.
292,출범 1년 만에 사실상 활동 중단한 ‘道감염병관리위',2022.04.15.
293,"“돌아와요, 사무실로…” 엔데믹에 막 내리는 재택근무, ‘출근 묘안’ 찾는 테크기업들",2022.04.16.
294,"발란, 반년새 몸값 4배 뛰었다…명품 e커머스 첫 '유니콘' 눈앞",2022.04.17.
295,"삼성 'SSAFFY' 수료생 10명 중 8명, 취업 성공했다",2022.04.17.
296,"오리온, 카카오엔터와 물류업무 협약",2022.04.17.
297,"구글 ‘인앱결제 꼼수’에 맞불… 게임업계, 자체결제 속속 도입",2022.04.17.
298,"엔씨·카겜 실적 고공행진… ""해외서도 흥행질주""",2022.04.17.
299,[만파식적] 마야부인,2022.04.17.
300,"강남 사모님, 기관투자자 변신... 공모주 더 받으려 운용사 샀다",2022.04.17.
301,"‘비대면 특수’ 끝났나…네이버 실적, 시장 기대치 밑돌아",2022.04.17.
302,'취업률 84%' 삼성이 키운 청년 개발자…교육생 1150명 또 뽑는다,2022.04.17.
303,IT업계 연봉 인상 경쟁의 부메랑,2022.04.17.
304,이러니 인재들 몰리지…토스 능력주의에 30대 '별' 속출,2022.04.17.
305,"카카오, 자체 구독 결제플랫폼 구축 나섰다",2022.04.17.
306,내 곁에 있다면… 그렇게 하고 싶어 했던 모녀 여행 가고 싶어요,2022.04.17.
307,비운의 '타다'…이번엔 대형택시로 승부,2022.04.17.
308,"자금력 따라 공모주 청약 차등…1억 운용사, 9조 '허수청약' 못한다",2022.04.17.
309,[중앙로365] 참여 정치로 ‘고립 시대’ 벗어나야,2022.04.18.
310,[단독] 디지털TF→민관합동위 격상... '윤석열표 디지털 정부' 이끈다,2022.04.18.
311,"""12년된 우회상장 규제, 이제는 풀자""",2022.04.18.
312,"카카오, 통합인증기관 시장 진출",2022.04.18.
313,[모닝] 멜론 인기곡 1~3위 트로트가 휩쓸어,2022.04.18.
314,"다시 돌아온 일상… IT업계, 콘텐츠·메타버스로 승부수",2022.04.18.
315,"멜론-지니뮤직, 현대차그룹 32개 차종에 탑재",2022.04.18.
316,청년 취업률 84% ‘삼성 SW아카데미’ 새달 교육생 모집,2022.04.18.
317,환율 치솟는데 해외송금수수료 제일 싼 곳은,2022.04.18.
318,[스페셜리포트]넥슨 향후 지배구조 개편 가능성...시나리오는,2022.04.18.
319,"""택시기사 근로여건 개선해야""...고개드는 탄력요금제 확대 목소리",2022.04.18.
320,"우울한 IPO기업 성적표…""기업 펀더멘털 주목해야""",2022.04.18.
321,"보험사, 모바일 앱 개선 '봇물'",2022.04.18.
322,"""중국서 못 살겠어"" 상하이 봉쇄에 이민 문의↑, 선호국은 어디?",2022.04.18.
323,잇단 악재에… 상장사 176곳 목표주가 낮춰,2022.04.18.
324,"K-OTT, 콘텐츠 투자에 적자…""법적지위 부여해 세제지원""",2022.04.18.
325,[정덕현의 엔터인사이드] 유재석이어서 가능한 '게임예능',2022.04.18.
326,924만원 vs 382만원…2배 넘는 임금差에 허탈한 中企직원,2022.04.18.
327,[1㎜금융톡]삼성 통합 앱 ‘모니모’ 출시…2500만 고객 VS 차별화 없어,2022.04.18.
328,"SR, 비회원도 승차권 선물받고 다자녀엔 할인…공공서비스 '활짝'",2022.04.18.
329,회의·출장·회식 기지개켜는 기업들…최적의 근무체제 놓고 '고심',2022.04.18.
330,“프롭테크 파도 맞설 시스템 구축…잃어버린 신뢰 찾을 것”,2022.04.18.
331,사회 현안에 대한 설교 도움받고 싶다면…,2022.04.18.
332,"보험금 청구, 펀드 투자 한번에…삼성 금융통합앱 ‘모니모’ 나왔다",2022.04.18.
