"","Datetime","Text","score","sentiment"
"1",2021-12-31,"    년 목표    롤링필로우 매출 궤도에 올리기    카카오메이커스랑 카카오선물하기 입점하기    라이브커머스 해보기    공동구매 해보기    기관에 납품성공해보기    에보슬립 와디즈펀딩으로  억 이상 매출만들고 양산태우기    디지털치료기기 자리잡기    글로벌 거대기업에 본마사저    주기",3,"pos"
"2",2021-12-31,"올해 다 지나니까 생각나는데 여름에 새일센터에서 구직 프로그램 소개 받을 때 카카오톡 알림 날려주는 그런 일이라고 했는데 실상은 그냥 이거저거 다 할 수 있으면서소기업에서 구를 사람 구하던거였고          ",0,"neu"
"3",2021-12-31,"해 넘긴 김범수 의장의 약속    카카오 상생안  오리무중                          조국의 웅동학원 사회환원과 똑 같다 이 좌파넘들은 다급하면 사회환원을 외치며 서울대 월급까지 챙겨서 먹는다 다음 카카오는 전형적인 좌파기업이다",4,"pos"
"4",2021-12-31,"   해시드벤처스는     년 설립하자마자 운용사 출자금과 민간자금만으로 이루어진     억원의 펀드를 결성했습니다  여기에 크래프톤  네이버  카카오 등 굵직한    기업들이 출자하면서 여러모로 이목을 끌었습니다 ",3,"pos"
"5",2021-12-30,"토스뱅크 카카오뱅크 이런데들은 기업대출고 안하는데 가계대출 규제 상황에서 뭘로 돈버는거지    ",-3,"neg"
"6",2021-12-30,"어우 카카오놈들 선물하기 안 쓴 건 자기들이 다 먹는다면서 알 포인트주는 꼬라지보소    진짜 쓸 맛 안 나는 독점기업                        ",-1,"neg"
"7",2021-12-30,"다른 기업도 심하긴 한데 카카오 존나 심해                        ",0,"neu"
"8",2021-12-30,"각 기업 여남 연봉 차이 삼성       만원                          유플      엔씨      네이버      카카오      카   엔 삼   유 네   평균 약     만원 차이  계산 틀렸을수도 있음  틀렸으면 알려주세요                         ",1,"pos"
"9",2021-12-30,"크립토시대  네이버페이 말고 라인코인  카카오페이말고 클레이  원화충전결제에서 코인충전결제 하면 아주 작지만 혜택 줌  세금낼때 지역코인으로 내면 할인 또는 적립금 줌 원화 나라에서 관리하는 인플레이션 화폐 코인 기업에거 관리하는 인플레이션 코인",5,"pos"
"10",2021-12-30,"맞아 진짜 개쓰레기 기업이야 카카오가",-1,"neg"
"11",2021-12-30,"카카오는 젤 신생기업 아님     미쳤네",-3,"neg"
"12",2021-12-30,"공수처   의원 단톡방도 통째 털었다     명 정보 다 뒤졌나                         카카오톡 이렇게 국민의 대화자료를 통째로 넘긴다면  사용자가 과연 어떻게 개인적인 대화가능  테크기업  개를 망하게 하려는 무능한 정권",-4,"neg"
"13",2021-12-30,"                 들이네 진짜    능력없고    개찐따 기업 일하는 애들도 재택근무랍시고 넷플보면서 고액연봉 받아가겠지 카카오가 짱이다 에라이",1,"pos"
"14",2021-12-30,"삼성 비율이 이상해서 생각해보니까  전체 평균은 각 성별 평균을 성비로 내분해서 얻은 값이 되어야 하므로 두 값 사이에 존재해야 한다  아마도  억    을  억으로 오타낸 듯  추가로 이 성질을 이용하면 기업별 성비를 알 수 있는데  카카오는        엔씨는         삼성은                              ",3,"pos"
"15",2021-12-29," 지난   월 국정감사는  플랫폼 국감 으로 불릴 정도로 플랫폼 업체에 비판이 집중됐다  김범수 카카오 이사회 의장은 기업 총수로는 드물게  번이나 증인으로 국감장에 서야 했다                          ",-1,"neg"
