,date,text,score,senti
0,2020.01.01.,네이버카카오 작년 연매출 사상최대,1,1
1,2020.01.01.,한진네이버카카오두산…국민연금 수익률 ‘효자’,2,1
2,2020.01.01.,백브리핑 돈보다 금배지,1,1
3,2020.01.01.,게임위 GO 애플 STOP19금 게임 이중검열 논란,-2,-1
4,2020.01.01.,달린 거리만큼 보험료 내는 ‘디지털 車보험’ 나온다,0,0
5,2020.01.01.,새로움보단 익숙함…2020년 주목할 뮤지컬은,1,1
6,2020.01.01.,새해 자리 바꾸는 IT 리더들혁신으로 경제 살릴까,2,1
7,2020.01.01.,내신성적 영원불변… 명문대 수시 합격 비결은 ‘자율 동아리’,1,1
8,2020.01.01.,올해 증시에서도 믿을 건 IT뿐,0,0
9,2020.01.02.,민주당 이낙연 복귀 초읽기… 한국당 보수통합 올인,-1,-1
10,2020.01.02.,네이버 네이버페이 투자 유치로 테크핀 시장 선점 나선다,4,1
11,2020.01.02.,트렌드 쉐이크쉑 도심속에서 즐기는 자연 연출하다,3,1
12,2020.01.02.,막막했던 골목 매장 재창업 패키지로 숨통,1,1
13,2020.01.03.,씨줄날줄 간편후불결제장세훈 논설위원,0,0
14,2020.01.03.,네이버 경영진 베트남 대학캠퍼스 찾아간 까닭은,0,0
15,2020.01.03.,작년 최다 이용앱은 카톡 국민 10명 중 7명이 사용,0,0
16,2020.01.03.,배달의민족 MA 제동 거는 與…업계 진입장벽 낮은데 왜 그러나,-1,-1
17,2020.01.03.,대탈출이 시작됐다 대형 기획사 떠나는 톱가수들,-1,-1
18,2020.01.03.,카톡 2시간 장애 새해 인사 먹통,-4,-1
19,2020.01.03.,양도세 피하자 삼성전자 등 임원 자사주 매도,-1,-1
20,2020.01.03.,신용점수 올리는 방법 여기 다 있쥐,0,0
21,2020.01.03.,정치권 실검 조작 방지 합의에… 기업들 과잉입법 반발,-3,-1
22,2020.01.04.,톡톡금융 15조 해외송금 잡아라‥뜨거운 각축전,0,0
23,2020.01.04.,車보험 온라인 판매 중단하는 한화손보…왜,-1,-1
24,2020.01.05.,자산 2조 이상 상장사 10곳 중 8곳 ‘여성 이사’ 0명,0,0
25,2020.01.05.,사설 기업만 보고 산업은 못 본 단견이 인터넷은행법 개정 막았다,-1,-1
26,2020.01.05.,금리 투명한 금융상품엔 “01가 어디야” 초민감 저축지방銀카드 넘나드는 금리노마드族 안테나 ‘쫑긋’,-1,-1
27,2020.01.05.,매월 새로운 금융서비스가 나온다,2,1
28,2020.01.05.,주식부자 1위 이건희 회장 올해만 4조 늘어 17조,2,1
29,2020.01.05.,병원맛집 대기 없앤 스마트 웨이팅 확산,3,1
30,2020.01.06.,네이버카카오 올해 역대급 주가 기대감 솔솔,-1,-1
31,2020.01.06.,신년기획2020년 20세 리포트“유튜브 즐겨도 믿진 않죠”…스무살 2001년생 리포트,0,0
32,2020.01.06.,반도체→中테마→2차전지…순환매 펼쳐지나,0,0
33,2020.01.06.,타다 막은 與 배달의민족 MA도 발목,-1,-1
34,2020.01.06.,공정거래 전문가가 본 타다 금지법,0,0
35,2020.01.06.,조국 공소장에 “사모펀드 투자 알고…” 5회 적시,1,1
36,2020.01.06.,그립습니다아들 하나 가슴에 묻고… 근심 사라질 날 없던 어머니,-2,-1
37,2020.01.07.,부산의료원장 조국 딸 장학금 주며 병원장직 인사 청탁,1,1
38,2020.01.07.,데이터 3법 국회 통과 수혜주는,2,1
39,2020.01.07.,국회 문턱 못 넘은 인지세법…稅부담 감소 기대한 업계 불만,-8,-1
40,2020.01.07.,매경 인터뷰 다라 코즈로샤히 우버 CEO장대환 매경미디어그룹 회장 대담,0,0
41,2020.01.07.,핀테크 데이터 스크래핑 폭증트래픽 몰린 카드사 홈페이지 마비,-2,-1
42,2020.01.07.,기업 브리핑 특허 심사에 카카오 AI 번역 엔진 도입,1,1
43,2020.01.08.,이동수단음식배달금융…모빌리티 일상이 되다,1,1
44,2020.01.08.,중동 불안에도… 외국인의 식지 않는 반도체IT 사랑,-2,-1
45,2020.01.08.,토요워치 취업결혼운세온라인 도사님께 물어보세요,0,0
46,2020.01.08.,게임하고 득템 … 올해도 팡팡 터진다,2,1
47,2020.01.08.,무대는 좁다… 영화관TV로 진출하는 공연,2,1
48,2020.01.08.,제3대 한국핀테크산업협회장 류영준신승현 대표 2파전,1,1
49,2020.01.08.,2020경제 전문가 100인 설문조사“文정부 혁신성장규제개혁 성과 없었다” 74,0,0
50,2020.01.08.,울산 시민 71 전기 공유 자전거 이용 ‘만족’,2,1
51,2020.01.08.,카카오 자동차주택헬스케어 등 카톡 비즈니스 생태계 구축,2,1
52,2020.01.08.,공장 돌리려고 직장폐쇄… 르노삼성의 웃픈 현실,0,0
53,2020.01.08.,김호기의 굿모닝 2020s“거짓과 진실 싸움 넘어 거짓과 거짓 싸움” SNS 자화상,-13,-1
54,2020.01.08.,10대 최대 인터넷 소비형태 유튜브로 게임 본다,1,1
55,2020.01.09.,2020 대한민국 신충헌으로 돌파합니다,6,1
56,2020.01.09.,“Z세대 경쟁ㆍ압박 내면화…개인 선택 높여주는 사회로 변화를”,-4,-1
57,2020.01.09.,카카오뱅크 중금리 대출 1조원 돌파,6,1
58,2020.01.09.,단독 카카오M 음반사업 재편…인디음악 레이블 문화인 독립,1,1
59,2020.01.09.,1초에 76개60억개 돌파 호빵의 경제학…간식거리 넘쳐나도 으뜸,6,1
60,2020.01.09.,네번째 국토부 2차관 이번엔 다를까,0,0
61,2020.01.09.,이슈분석선거법 무풍지대 유튜브,0,0
62,2020.01.09.,이름에서 도너츠 뺀 던킨 커피 빼는 스타벅스… 작명의 경영학,0,0
63,2020.01.09.,김현미 장관 “집값 많이 오른 지역 실수요자 부담 안 되게 상당 수준 떨어져야”,-5,-1
64,2020.01.10.,성매매 알선원정도박 혐의 승리 구속영장 또 기각,-2,-1
65,2020.01.10.,매경포럼 플랫폼 시대 혁신과 독점의 딜레마,-1,-1
66,2020.01.10.,시그널 FOCUS 카카오왕국 작년 MA만 15곳이젠 돈버는 카카오 되나,0,0
67,2020.01.10.,SK바이오팜 FTSEMSCI코스피200 조기편입 바통 잇나,0,0
68,2020.01.10.,작년 금융거래 내역 알고 싶다면 은행 앱 누르세요 알면 돈 되는 금융 꿀팁,0,0
69,2020.01.10.,“손태승 회장 소통사회공헌에 가장 적극”,1,1
70,2020.01.10.,확장현실 게임과 결합해 40조원 시장으로 부상,0,0
71,2020.01.10.,단독 알리페이처럼…카카오페이 충전잔액 MMF로 굴린다,1,1
72,2020.01.10.,의료 AI 스타트업 루닛 6년만에 기업가치 2000억,0,0
73,2020.01.10.,클라우드 문서유출방지 AI 솔루션 넷킬러 DLP 25 출시,0,0
74,2020.01.10.,인간과 AI의 미래 눈 앞에 펼쳐진다,1,1
75,2020.01.11.,수수료 올라도 소비자에 이익이면 무방…배민DH 기업결합심사 변수될까,-2,-1
76,2020.01.11.,현실에 지친 이들이 찾는 안락함… 오늘도 어른들은 ‘위로’를 산다,-2,-1
77,2020.01.11.,KT 5G요금제 Y슈퍼플랜 출시5G 최초 만29세 이하 요금제,2,1
78,2020.01.11.,超협력의 시대… 박정호 AI동맹 만들자,2,1
