"","word","polarity"
"1","ㅡㅡ",-1
"2","ㅠㅠ",-1
"3","ㅠ_ㅠ",-1
"4","ㅠ",-1
"5","ㅜㅡ",-1
"6","ㅜㅜ",-1
"7","ㅜ_ㅜ",-1
"8","ㅜ.ㅜ",-1
"9","ㅜ",-1
"10","ㅗ",-1
"11","힘찬 기운이",2
"12","힘찬",2
"13","힘차다",2
"14","힘차고 튼튼하다",2
"15","힘차고 대단한",2
"16","힘차고",2
"17","힘차게 진행되는",2
"18","힘차게 일어남",1
"19","힘차게",2
"20","힘이나 권세 위력 따위가 없이",-1
"21","힘이 있다",1
"22","힘이 있고",1
"23","힘이 있게",1
"24","힘이 없음을",-1
"25","힘이 없어서",-1
"26","힘이 없어",-1
"27","힘이 없다",-1
"28","힘이 없는 사람을",-1
"29","힘이 없는",-1
"30","힘이 없거나",-1
"31","힘이 약해진",-1
"32","힘이 빠져",-1
"33","힘이 뛰어나다",1
"34","힘이 들거나",-1
"35","힘이 되어",1
"36","힘이 다 빠져",-1
"37","힘이 기운차게",2
"38","힘이 강하다",2
"39","힘이 가득하고",1
"40","힘을 합하여",1
"41","힘을 잃고",-1
"42","힘을 잃게",-1
"43","힘을 잃거나",-1
"44","힘을 못 쓰게",-1
"45","힘을 들이고",-1
"46","힘을 들였으나",-1
"47","힘을 다함",1
"48","힘을 다하여",1
"49","힘을 다하다",1
"50","힘을 가지고",1
"51","힘에 부치는 데가 있다",-2
"52","힘에 부쳐",-2
"53","힘에 벅차",-2
"54","힘에 눌려",-2
"55","힘에 겹게",-2
"56","힘에 겹거나",-2
"57","힘에 겨워",-2
"58","힘없이 흐느적흐느적",-1
"59","힘없이 행동하다",-1
"60","힘없이 행동하는",-1
"61","힘없이 처질",-1
"62","힘없이 주저앉는",-1
"63","힘없이 앉다",-1
"64","힘없이 쑥쑥",-1
"65","힘없이 몰아쉬는",-1
"66","힘없이 넘어지거나",-1
"67","힘없이 끌려가는",-1
"68","힘없이 거꾸러지는",-1
"69","힘없이",-1
"70","힘없은 걸음으로",-1
"71","힘없다",-1
"72","힘없는 다리로",-1
"73","힘없는 걸음으로",-1
"74","힘없는",-1
"75","힘쓰다",0
"76","힘삐치다",-1
"77","힘들이지 않고",1
"78","힘들여 눌",-2
"79","힘들여 누는",-2
"80","힘들여",-2
"81","힘들어지다",-2
"82","힘들어지고",-1
"83","힘들다",-2
"84","힘들게",-2
"85","힘들거나",-2
"86","힘들 정도로",-2
"87","힘들 만큼",-2
"88","힘들 때에",-2
"89","힘들",-2
"90","힘든 세상",-2
"91","힘든 과정임을",-2
"92","힘든",-2
"93","힘과 용기를",1
"94","힘겹다",-2
"95","힘겹게 걸어가는",-2
"96","힘겹게",-2
"97","힘겨웁다",-2
"98","힘 있게",1
"99","힘 약한",-1
"100","힐난하다",-1
"101","힐난조",-1
"102","힐난",-1
"103","히히대다",1
"104","히히거리다",1
"105","히쭉히쭉하다",1
"106","히쭉히쭉",1
"107","히쭉해쭉하다",1
"108","히쭉해쭉",1
"109","히쭉하다",1
"110","히쭉이다",1
"111","히쭉이",1
"112","히쭉",1
"113","히죽히죽하다",1
"114","히죽히죽",1
"115","히죽해죽하다",1
"116","히죽해죽",1
"117","히죽하다",1
"118","히죽이다",1
"119","히죽이",1
"120","히죽비죽하다",-1
"121","히죽비죽",-1
"122","히죽벌쭉하다",1
"123","히죽벌쭉",1
"124","히죽대다",1
"125","히죽거리다",1
"126","히죽",1
"127","히스테리",-1
"128","히살스레",-2
"129","히살스럽다",-2
"130","히벌쭉대다",1
"131","히벌쭉거리다",1
"132","히뜰머뜰하다",-1
"133","히뜰머뜰",-1
"134","히들히들하다",0
"135","히들히들",0
"136","히들머들하다",-1
"137","히들머들",-1
"138","히들거리다",0
"139","히든카드",1
"140","힁허케",0
"141","힁하다",-1
"142","희희호호",2
"143","희희덕희희덕하다",-1
"144","희희덕희희덕",-1
"145","희희덕대다",0
"146","희희덕거리다",0
"147","희희덕",-1
"148","희희대다",-1
"149","희희낙락하다",2
"150","희희낙락대다",2
"151","희희낙락거리다",2
"152","희희낙락",2
"153","희희거리다",-1
"154","희희",1
"155","희박하다",-1
"156","희미해져서",-1
"157","희미하다",-1
"158","희미하고",-1
"159","희멀쑥하다",1
"160","희멀쑥이",1
"161","희멀쑥",1
"162","희멀끔히",1
"163","희멀끔하다",1
"164","희멀끔",1
"165","희망차다",1
"166","희망차고",1
"167","희망적",1
"168","희망이 없는",-2
"169","희망을 잃음",-2
"170","희망을 잃다",-2
"171","희망을 잃고",-2
"172","희망을 가지다",1
"173","희망을",1
"174","희망없는",-2
"175","희망 매매",1
"176","희망",1
"177","희말쑥하다",1
"178","희룽히룽",-1
"179","희룽희룽하다",-1
"180","희룽희룽",-1
"181","희룽해롱하다",-1
"182","희룽해롱",-1
"183","희룽대다",-1
"184","희룽거리다",-1
"185","희롱희롱하다",-1
"186","희롱희롱",-1
"187","희롱해롱하다",-1
"188","희롱해롱",-1
"189","희롱하다",-1
"190","희롱질하다",0
"191","희락",2
"192","희떱게 으스대며",-1
"193","희떱게",-1
"194","희떠운 짓이나",-1
"195","희떠운",-1
"196","희다",1
"197","희고 멀쑥한",1
"198","희고 멀쑥하게",1
"199","희고 멀끔한",1
"200","희고 멀끔하다",1
"201","희고 멀끔하게",1
"202","희고 말쑥하다",1
"203","희고",1
"204","흩어지지 않게",1
"205","흥행화하다",2
"206","흥행하다",2
"207","흥행작",2
"208","흥행되다",2
"209","흥행",1
"210","흥하다",2
"211","흥취 있게",2
"212","흥취",2
"213","흥청흥청하다",-1
"214","흥청흥청",-1
"215","흥청벙청",-1
"216","흥청망청하다",-1
"217","흥청망청",-1
"218","흥청대다",-1
"219","흥청거리다",-1
"220","흥청",-1
"221","흥이 나서",2
"222","흥이 꺾여",-2
"223","흥이",2
"224","흥을 돋우려고",1
"225","흥에 겨워",2
"226","흥에",2
"227","흥분하다",1
"228","흥분하는",-1
"229","흥분하거나 불안할",-1
"230","흥분이나 아픔 괴로움 따위가 수그러들거나 사라지다",1
"231","흥분되고 떨리는",1
"232","흥분되고",1
"233","흥미와",1
"234","흥미를 끌지 못하고",-2
"235","흥미를 끌다",1
"236","흥미롭다",1
"237","흥미나 열성이",1
"238","흥미나",1
