"","word","polarity","n"
"1","카카오",0,22181
"2","오늘",NA,7541
"3","하다",NA,7314
"4","오르다",1,6230
"5","만원",NA,5010
"6","말다",NA,4700
"7","사다",1,4436
"8","매수",1,3954
"9","늘다",1,3706
"10","떨어지다",-1,3456
"11","가다",1,3361
"12","보다",NA,3271
"13","네이버",0,3236
"14","삭제",-1,3205
"15","게시물",NA,3168
"16","답글",NA,3135
"17","오다",NA,2878
"18","주식",0,2741
"19","팔다",-1,2667
"20","공매도",-1,2545
"21","끄다",-1,2254
"22","내리다",-1,2192
"23","들다",NA,2133
"24","있다",NA,1960
"25","카카",NA,1780
"26","하락",-1,1734
"27","기관",NA,1575
"28","되다",NA,1558
"29","개미",-1,1530
"30","개미",0,1530
"31","상승",1,1490
"32","진짜",-1,1489
"33","외인",NA,1442
"34","개미들",NA,1426
"35","조정",-1,1425
"36","물리다",-1,1422
"37","털다",-1,1404
"38","어제",NA,1400
"39","크다",1,1358
"40","올리다",1,1340
"41","알다",NA,1294
"42","없다",-1,1287
"43","고점",1,1256
"44","많다",0,1201
"45","평단",NA,1116
"46","지다",-1,1106
"47","호재",1,1106
"48","좋다",2,1015
"49","사람",NA,993
"50","아니다",-2,970
"51","이거",NA,970
"52","종가",NA,945
"53","내일",NA,931
"54","쓰다",NA,913
"55","반등",1,910
"56","같다",NA,905
"57","외국",NA,893
"58","빠지다",-1,877
"59","시총",0,870
"60","카카오페이",0,864
"61","거품",-1,842
"62","나다",NA,824
"63","악재",-1,810
"64","일다",NA,807
"65","추다",NA,792
"66","규제",-1,786
"67","안티",NA,772
"68","주다",NA,762
"69","나오다",NA,749
"70","프로",NA,738
"71","상장",1,720
"72","손절",-1,716
"73","트다",NA,709
"74","안티들",NA,704
"75","주주",NA,697
"76","생각",NA,696
"77","가즈",1,692
"78","치다",NA,692
"79","삼전",NA,690
"80","이렇다",NA,660
"81","코스피",0,655
"82","시작",NA,654
"83","공매",NA,636
"84","기업",NA,636
"85","민주당",NA,627
"86","언제",NA,624
"87","내다",NA,615
"88","속보",NA,615
"89","오르",1,611
"90","나스닥",NA,604
"91","누구",NA,602
"92","시간",NA,592
"93","깨다",-1,571
"94","김범수",NA,557
"95","기다리다",1,554
"96","먹다",1,552
"97","넘다",1,540
"98","회사",NA,538
"99","앵두",NA,531
"100","종목",NA,531
"101","담다",1,526
"102","이상",NA,525
"103","돌파",1,518
"104","대박",1,506
"105","다들",NA,504
"106","얼마",NA,504
"107","찍다",NA,500
"108","푸다",NA,498
"109","만주",NA,497
"110","차트",NA,496
"111","까다",NA,489
"112","여기",NA,488
"113","폭락",-1,488
"114","실적",0,487
"115","짜다",NA,486
"116","목표",NA,485
"117","한번",NA,478
"118","시외",NA,476
"119","인수",1,476
"120","미국",NA,468
"121","일선",NA,464
"122","만원대",NA,462
"123","이유",NA,461
"124","타다",NA,453
"125","마지막",NA,449
"126","오후",NA,448
"127","바닥",-1,444
"128","적정",NA,436
"129","던지다",-1,431
"130","뜨다",NA,428
"131","물량",NA,427
"132","상하다",2,426
"133","않다",-1,426
"134","돌다",NA,425
"135","거래량",NA,419
"136","끝나다",-1,410
"137","급등",1,408
"138","월요일",NA,400
"139","떨어지",-1,399
"140","카뱅",1,399
"141","가격",NA,397
"142","우리",NA,396
"143","다음주",NA,393
"144","뉴스",NA,388
"145","기회",1,383
"146","잡다",NA,383
"147","그렇다",NA,382
"148","반토막",-1,382
"149","살리다",-1,382
"150","하나",NA,381
"151","만들다",NA,377
"152","정부",NA,377
"153","빼다",-1,375
"154","받다",1,370
"155","다음",NA,369
"156","카카오뱅크",0,369
"157","분기",NA,366
"158","삼성전자",NA,365
"159","천원",NA,365
"160","근데",NA,364
"161","믿다",1,364
"162","가지다",NA,359
"163","못하다",-2,358
"164","모르다",-1,357
"165","연기금",-1,356
"166","투자",1,355
"167","지수",NA,354
"168","단타",0,351
"169","단타",1,351
"170","매도",-1,350
"171","미치다",-1,347
"172","주가",NA,340
"173","갑니",NA,339
"174","에다",NA,339
"175","입다",NA,332
"176","개인",NA,330
"177","서다",NA,329
"178","벌다",NA,328
"179","안되다",NA,328
"180","뭐하다",-1,326
"181","저점",-1,326
"182","이재명",NA,324
"183","어떻다",NA,323
"184","개관",NA,322
"185","버티다",1,322
"186","아가리",1,321
"187","수익",1,320
"188","널다",NA,319
"189","싸다",-1,318
"190","주린이",NA,317
"191","비싸다",-2,315
"192","맞다",NA,314
"193","삼성",NA,310
"194","아침",NA,310
"195","멀다",NA,309
"196","시초",NA,306
"197","그러다",NA,304
"198","시장",NA,304
"199","올해",NA,304
"200","대한민국",NA,303
"201","문어발",-1,300
"202","졸다",NA,300
"203","외인들",NA,296
"204","이번주",NA,296
"205","개미들이",NA,292
"206","주주들",NA,292
"207","지금",NA,292
"208","배당",NA,290
"209","카카오게임즈",NA,290
"210","무섭다",-2,288
"211","보이다",NA,288
"212","알리다",NA,287
"213","흐르다",-1,287
"214","대주주",0,285
"215","폭등",1,285
"216","플랫폼",0,279
"217","자회사",NA,277
"218","프로그램",NA,275
"219","성장",1,274
"220","뚫다",NA,273
"221","대단",-1,271
"222","나가다",NA,270
"223","분하다",-2,270
"224","최고",1,269
"225","최고",2,269
"226","예상",0,265
"227","탈출",-1,263
"228","주주님들",NA,262
"229","죽다",-1,262
"230","쪼다",NA,260
"231","액분",1,259
"232","이번",NA,255
"233","문제",-1,254
"234","이걸",-1,251
"235","불다",NA,249
"236","쓰레기",-2,248
"237","살다",NA,247
"238","하루",NA,247
"239","신고",NA,245
"240","액면분할",0,245
"241","액면분할",1,245
"242","자사주",NA,245
"243","네이버는",NA,242
"244","카톡",NA,242
"245","튀다",NA,242
"246","정권",-1,241
"247","때문",NA,240
"248","사람들",NA,240
"249","왜이",NA,240
"250","싶다",NA,237
"251","작년",NA,237
"252","문재",NA,234
"253","피다",NA,231
"254","합니",NA,231
"255","대통령",NA,229
"256","광고",NA,227
"257","회복",1,224
"258","걱정",-2,223
"259","대표",NA,223
"260","증시",NA,223
"261","아마존",NA,222
"262","갓카오",NA,221
"263","미래",NA,220
"264","위하다",NA,217
"265","형님들",NA,217
"266","정도",NA,215
"267","오전",NA,212
"268","탈세",-1,212
"269","내년",NA,210
"270","힘들다",-2,210
"271","달리다",1,209
"272","덜다",NA,208
"273","세력",NA,207
"274","개월",NA,205
"275","따르다",NA,205
"276","범수야",NA,203
"277","이르다",NA,203
"278","국민청원",NA,202
"279","보합",NA,202
"280","유영두",NA,202
"281","거래",NA,201
"282","단기",NA,201
"283","양봉",NA,201
"284","금요일",NA,200
"285","풀다",NA,200
"286","개미들아",NA,199
"287","최소",NA,199
"288","기대",1,198
"289","국민",NA,196
"290","대하다",NA,196
"291","지키다",NA,196
"292","현대차",NA,196
"293","날다",NA,195
"294","카카오톡",NA,195
"295","헐다",NA,195
"296","우리나라",NA,193
"297","빠지",NA,192
"298","신용",NA,192
"299","이젠",NA,191
"300","블록딜",NA,190
"301","지분",NA,190
"302","선물",1,189
"303","입성",NA,189
"304","여러분",NA,187
"305","윤석열",NA,187
"306","아래",NA,185
"307","부터",NA,184
"308","힘내다",1,183
"309","연말",NA,182
"310","완전",-1,181
"311","어디",-1,180
"312","잘하다",2,180
"313","터지다",NA,180
"314","느끼다",NA,178
"315","떨다",-1,177
"316","외국인",NA,176
"317","배당금",NA,175
"318","언택트",0,175
"319","주식시장",NA,175
"320","청원",NA,174
"321","죽이다",-1,173
"322","발표",NA,172
"323","뱅크",NA,171
"324","수급",NA,170
"325","잃다",-1,170
"326","개잡주",-1,169
"327","금지",-1,168
"328","영업이익",1,168
"329","범수",NA,167
"330","영두",NA,167
