Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,30800,30900,30400,30500,30473.49805,1205235
2020-01-03,30700,31000,30200,30500,30473.49805,1574240
2020-01-06,30100,31000,30000,30900,30873.15234,1968575
2020-01-07,31000,32000,30900,32000,31972.19531,4200930
2020-01-08,31700,32400,31300,31900,31872.2832,4258095
2020-01-09,32700,33100,32500,32800,32771.5,4391595
2020-01-10,33000,33300,32600,33000,32971.32422,2009530
2020-01-13,33100,33500,33000,33400,33370.97656,2378335
2020-01-14,33500,33700,33100,33400,33370.97656,2116430
2020-01-15,33400,34100,33300,34000,33970.45703,2310595
2020-01-16,34000,34400,34000,34300,34270.19531,1300245
2020-01-17,34300,34500,33600,33700,33670.71875,1773620
2020-01-20,33800,34000,33400,33700,33670.71875,1902550
2020-01-21,33700,33800,32700,33000,32971.32422,1945775
2020-01-22,33200,33800,32900,33200,33171.15234,2521750
2020-01-23,33600,33600,32900,33100,33071.23828,1617100
2020-01-28,32000,32700,31900,32500,32471.75977,2566140
2020-01-29,33100,33200,32500,32700,32671.58594,1275835
2020-01-30,32600,33100,32100,32400,32371.84766,2094540
2020-01-31,32500,32800,31700,31800,31772.36719,1730335
2020-02-03,31200,32100,31200,31900,31872.2832,2119535
2020-02-04,32300,33100,32100,32900,32871.41016,1973865
2020-02-05,33300,33400,32300,32600,32571.67383,2284770
2020-02-06,33100,33600,32700,33200,33171.15234,2760220
2020-02-07,33400,34100,33200,33500,33470.89063,2610500
2020-02-10,33500,33900,33200,33800,33770.63281,1876045
2020-02-11,33800,34000,33600,34000,33970.45703,1535600
2020-02-12,33900,34400,33600,34400,34370.10938,2039585
2020-02-13,34900,36300,34700,35800,35768.89453,9389900
2020-02-14,36200,36900,35800,36000,35968.71875,4740425
2020-02-17,36000,36400,35800,36100,36068.63281,1647040
2020-02-18,36100,36700,35800,36400,36368.37109,2936265
2020-02-19,36800,38100,36700,38000,37966.98438,6814990
2020-02-20,38100,38300,37600,38100,38066.89453,2737025
2020-02-21,37700,38300,37500,37900,37867.07031,2792485
2020-02-24,36900,37200,36400,36700,36668.10938,3963665
2020-02-25,36400,37200,36000,37100,37067.76172,2983815
2020-02-26,36700,37100,36300,36800,36768.02344,2581890
2020-02-27,36800,37100,35300,35700,35668.98047,3925310
2020-02-28,34900,35300,34100,34400,34370.10938,5114585
2020-03-02,34900,35300,33900,35000,34969.58594,3967475
2020-03-03,36100,36200,35000,35000,34969.58594,3145085
2020-03-04,34800,36200,34800,35900,35868.80859,3545940
2020-03-05,36500,36600,35300,35900,35868.80859,4108720
2020-03-06,35300,35700,34800,35100,35069.5,2842120
2020-03-09,35100,35100,35100,35100,35069.5,0
2020-03-10,32900,34900,32800,34600,34569.9375,4754375
2020-03-11,34400,34900,33400,33800,33770.63281,2751135
2020-03-12,33400,33800,31700,32200,32172.02148,6090350
2020-03-13,30000,32300,29000,31800,31772.36719,8009925
2020-03-16,32400,32800,29500,29500,29474.36719,6262420
2020-03-17,28200,30100,28000,29500,29474.36719,6105230
2020-03-18,29700,30400,28100,28200,28175.49609,5537635
2020-03-19,29100,29400,25500,26800,26776.71289,10785705
2020-03-20,27600,30200,26900,29900,29874.01953,8828780
2020-03-23,27600,29600,27500,28700,28675.0625,7846890
2020-03-24,30100,31000,29400,30900,30873.15234,6356935
2020-03-25,32100,32500,30200,30900,30873.15234,6451880
2020-03-26,31000,31200,30000,30100,30073.8457,4468440
2020-03-27,31300,31400,29800,30500,30473.49805,4794940
2020-03-30,29900,30900,29500,30600,30573.41016,3341270
2020-03-31,31000,31800,30400,31100,31072.97656,5212370
2020-04-01,31200,31700,30000,30100,30073.8457,3971475
2020-04-02,30400,31400,29800,31400,31372.7168,5218950
2020-04-03,31700,31800,31000,31500,31472.62891,2728745
2020-04-06,31700,32200,31500,32100,32072.10938,4039025
2020-04-07,32700,32900,31700,32000,31972.19531,4603990
2020-04-08,31800,32100,31600,31600,31572.54297,3691515
2020-04-09,32200,32200,31500,31600,31572.54297,3634600
2020-04-10,31700,32300,31400,32200,32172.02148,3766615
2020-04-13,32200,32200,31400,31500,31472.62891,2351255
2020-04-14,31900,32100,31600,31900,31872.2832,2153795
2020-04-16,31800,33400,31700,33100,33071.23828,5027665
2020-04-17,33800,34500,33500,34400,34370.10938,4738970
2020-04-20,34500,35800,34400,35000,34969.58594,4296515
2020-04-21,35300,35500,33700,35100,35069.5,6160630
2020-04-22,34800,35400,34300,35400,35369.23828,3430730
2020-04-23,36300,37300,36100,37100,37067.76172,7548995
2020-04-24,36900,37700,36400,36600,36568.19922,5368420
2020-04-27,36600,37400,36300,36800,36768.02344,3609815
2020-04-28,37100,37300,36300,37000,36967.85156,3343190
