,Datetime,Text
0,2022-04-27 05:59:45+00:00,@Crazy_cat_sound 내가 생각하는 국내 IT기업 최악의 합병은 다음과 카카오의 합병... 마이피플 허벌나게 애용 중이였는뎁...😭
1,2022-04-27 03:53:41+00:00,카카오·네이버·넷마블에 두나무까지…IT 기업이 '대기업 지도' 바꾼다 https://t.co/EifheGizl6
2,2022-04-27 02:39:50+00:00,"KVINA 해외주식
나스닥 올들어 최대폭 하락…구글 실적도 기대 이하

카카오VIEW 👉 https://t.co/ShXIs03xEH

#해외 #주식 #주가 #투자 #경제 #시장 #뉴스 #글로벌 #세계 #비즈니스 #기업 #구글 #실적 #나스닥 #하락 #전망 https://t.co/9CEB17Use2"
3,2022-04-27 01:26:01+00:00,근데 ㄹㅇ 네이버 카카오 말고는 야구단 인수할정도 급 되는 기업이 안보이네
4,2022-04-26 12:48:33+00:00,"이게 NFT판 현실 입니다.
분명 8시 민팅이라 8시 혹은 그 언저리에 민팅한 사람들은 NFT 못받고 환불처리되고 늦게한 사람들이 NFT를 받게 되었습니다. 거기에 대한 공지는 이게 끝이네요. 카카오라는 거대기업이 하는 곳이라 기대가 컸는데 기대가 큰만큼 실망도 크고 화도 많이 나네요. https://t.co/3SQhVs1bE9"
5,2022-04-26 12:20:49+00:00,"생각보다 구체적인데? 
1. 우리만 상식임
2. 기업규제 완화 노동자는 죽든 말든
3. 우리만 행복한 나라-서민은모르겟음
4. 스타트업 규제 완화 카카오공화국
5. 一本이 글로벌 중추다 따라가자
6. 최저임금 차등둬서 지방 때려부수자
이 말이 하고싶은거잔아 윤서결은 https://t.co/wq7oN8FGme"
6,2022-04-26 07:54:04+00:00,"카카오엔터프라이즈는 국내 대표 IT 플랫폼 사업자로서, 기술 개발을 선도하고 AI 산업 생태계 조성을 위해 지속적으로 노력하고 있습니다. 카카오의 AI 기술과 풍부한 경험, 전문 기술을 기반으로 의료, 금융, 유통, 건설 등 다양한 산업에서 기업이 필요로 하는 AI 기술과 플랫폼을 제공합니다."
7,2022-04-26 07:53:01+00:00,"선미야클럽 x 해피어타운 NFT 민팅 -  오후 8시 시작!!! 

확정구매권으로 시작될 예정입니다. 해피어타운의 든든한 백커도 오늘 발표되었습니다. 많은 응원 부탁드립니다.
[해피어타운] x [카카오 엔터프라이즈] 
해피어타운이 국내 대표 IT 플랫폼 기업, 카카오 엔터프라이즈와 손을 잡습니다! https://t.co/warUrRlu9D"
8,2022-04-26 06:11:40+00:00,"ZUZU, 200억 원 규모의 시리즈B 투자 유치!

3,500개 넘는 기업이 선택해주신 주주 관리 서비스, ZUZU.

두나무앤파트너스, 카카오벤처스, IBX 파트너스, TBT, 위벤처스, 대교인베스트먼트, KB인베스트먼트, HB인베스트먼트 등...
----
바로가기: https://t.co/7wuagDRwZF https://t.co/NOIm7cbvVJ"
9,2022-04-26 04:05:54+00:00,"라디오 듣다 보니 또 빡친다...
이런 시발 국가 수장이 머무는 공간이랑 애플 카카오톡 구글 같은 기업이 같아??? 개소리도 작작해야지 시발롬들 ㅠㅠㅠㅠ"
10,2022-04-26 02:22:54+00:00,"KVINA 해외주식
머스크의 트위터 인수 합의에 `콩고물` 기대하는 소셜미디어 업체들

카카오VIEW 👉 https://t.co/2tVBkSggiI

#해외 #주식 #주가 #투자 #경제 #시장 #뉴스 #글로벌 #세계 #비즈니스 #기업 #머스크 #트위터 #인수 #합병 #소셜미디어 #업체 https://t.co/i2GGTDxdaW"
11,2022-04-26 01:40:02+00:00,플레이 엑스포 기대했는데 정작 사이트 가보니 머기업 업체가 없네. 카카오 게임즈 부스 들여와서 우마무스메 해볼수 있나 기대했는데.
12,2022-04-25 07:47:14+00:00,당쇠르 왜 한국 안들어왔나 했더니 드므므계열이구나 그럼 그렇지..드므므계열 국내로 들어온거 앨리스클로젯밖에 없는걸로 기억함 그것도 무려 카카오같은 큰 기업이 가져와서 된거지 이런 특수한 경우 아니면 싹다 잘라버려 드므므는...
13,2022-04-25 03:32:08+00:00,"#TechM #테크M 
카카오벤처스, 채용지원 기업 '탤런트리'에 투자 
https://t.co/6U6EhOzM4m 
 
#IT #TECH #테크 
#Trends #트렌드"
14,2022-04-25 03:13:58+00:00,"KVINA 해외주식
월가 전문가들이 버핏의 '버크셔 해서웨이'를 외면하는 이유

카카오VIEW 👉 https://t.co/ySchOvV0fo

#해외 #주식 #주가 #투자 #경제 #시장 #뉴스 #글로벌 #세계 #비즈니스 #기업 #월가 #버핏 #버크셔해서웨이 https://t.co/54frGZd9es"
15,2022-04-25 02:02:46+00:00,"1. 지난 해 초부터 이수만 프로듀서가 보유한 SM엔터의 지분을 인수하기 위해 네이버, CJENM, 카카오 등 국내 최고의 기업들이 뛰어들었으나, 결론은 쉽게 나지 않는 중입니다. https://t.co/PdM4Jkkw1n"
16,2022-04-25 00:57:54+00:00,"#Platum #플래텀 
인재 채용지원 HR 기업 ‘탤런트리’, 카카오벤처스 등에서 시드 투자 유치 
https://t.co/gLeak6B1Q9 
 
#IT #TECH #테크 
#Trends #트렌드"
17,2022-04-23 11:31:33+00:00,"카카오 제주도냐고 놀라시는 분들 꽤 계시는데 ""다음""시절부터 그랬습니다.
IT업계는 특성상 지리적 요건이 불필요하기 때문에 본사가 육지와 제주도에 걸쳐있는 네오플이나 본사는 일본이면서 고객서비스를 담당하는 넥슨네트웍스는 제주도에 있는 넥슨 등의 기묘한 IT기업모양새를 볼 수 있습니다. https://t.co/GijPRaDgqM"
18,2022-04-23 00:05:20+00:00,네이버에 공매도 거하게들 들어가셨네. 네카오는 뭐라도 해야지 주가 반토막토막 나겠음. 물론 한국기업의 종특으로 아무것도 안하겠지. 카카오는 뭐 한다 그러지 않았나
19,2022-04-22 20:07:07+00:00,"카카오게임즈, 3N제치고 입사 선호 기업1위…'연봉·복지'우선 https://t.co/cVMvqyVf5q"
20,2022-04-22 14:30:49+00:00,언제 100억을 모아 가능한 일이긴해? 이세상에 100억을 갖고있는 사람이 있는게 이상해ㅠㅠ 100억은 어떻게 버는거임 내가 카카오같은 기업하나 세우면 됨?ㅠ 시발 그런걸 내가 어케 세워ㅠ
21,2022-04-22 05:39:46+00:00,평균 연봉 1억 넘는 기업은 24곳… #카카오 1억7200만원 1위 - 조선일보 https://t.co/BgLZY5o2jf
22,2022-04-22 05:13:06+00:00,아무리 생각해도 카카오 만큼 장사 이상하게 하는 기업이 없는거 같은데 왜이렇게 잘나가는 거지???☹️
23,2022-04-22 00:31:32+00:00,"국내외 빅테크 기업들이 ESG 경영에 적극적으로 동참하고 있다. 삼성전자와 애플은제품 전반에 재활용 소재 사용을 늘리겠다고 밝혔다. 카카오는 국내 IT업계 최초로 김혜일 링키지랩 접근성 팀장을 선임했다.
https://t.co/f6HI65C2MR"
24,2022-04-22 00:27:07+00:00,"[기획] `연봉 2억`…카카오발 쩐의 전쟁 (출처 : 디지털타임스 | 네이버 뉴스) https://t.co/HO9qxaceSy 

카카오, 네이버 등 국내 빅테크 기업을 중심으로 시작된 연봉 인상 경쟁으로 국내 주요 대기업의 평균 인건비가 최근 1년 새 13% 가까이 폭증"
25,2022-04-21 11:43:38+00:00,"올초부터 기업들은 기존 주주들에게 가치를 환원하겠다는 목표를 내세워 자사주 소각을 단행했다. 카카오(3000억원), 미래에셋증권 (1741억원), KB금융(1500억원), 금호석유(1500억원), 신한지주 (1500억원) 등이다. https://t.co/ODWlDZa8ts"
26,2022-04-21 08:00:42+00:00,"정보핀테크 기업(카카오, 토스, 페이팔) 재테크 하기 : 분석 및  뜻 https://t.co/deSaxd1V7q"
27,2022-04-21 05:55:34+00:00,여기서도 공기업이나 공기업출신들 빼면 사실상 민간기업은 서울에 있음.. 거기에 카카오도 법인상만 제주고...
28,2022-04-21 02:47:42+00:00,"KVINA 해외주식
66조 증발 '넷플릭스 쇼크' 정말 계정 공유 탓일까

카카오VIEW 👉 https://t.co/MuUlXoohnZ

#해외 #주식 #주가 #투자 #경제 #시장 #뉴스 #글로벌 #세계 #비즈니스 #기업 #넷플릭스 #쇼크 #계정공유 #OTT #실적 #종목 https://t.co/x4hgLhQZs5"
29,2022-04-21 00:20:27+00:00,"- 최근, 사실무근 [단독] 기사로 특정 기업의 주가가 크게 뛰는 일이 발생하고 있음. 카카오엔터테인먼트의 #디앤씨미디어 인수 추진, SM그룹이 쌍용차 인수를 타진한다는 단독 보도 등 모두 사실 무근으로 드러나고 주가는 원상 회복됨. [단독] 타이틀에 속지 말고 회사 공식 발표를 기다려야."
30,2022-04-20 07:18:45+00:00,"카카오, IT기업 첫 디지털접근성책임(DAO) 선임
출처 : 디지털데일리 | 네이버
오! 혜일님(개인적으로는 모르지만 접근성을 접했다면 모를수 없는분) https://t.co/F46tPKluJz"
31,2022-04-20 03:38:53+00:00,"KVINA 해외주식
지난주 美 증시자금 최대 유출…일주일 새 20조 원 빠져나가

카카오VIEW 👉 https://t.co/lCKcgyMsoc

#해외 #주식 #주가 #투자 #경제 #시장 #뉴스 #글로벌 #세계 #비즈니스 #기업 #미국 #증시 #자금 #미국증시 https://t.co/Cwk1xs30Rk"
32,2022-04-20 03:14:52+00:00,"카카오, 국내 IT기업 최초 '디지털 접근성 책임자' 선임 #카카오 #국내 #IT기업 https://t.co/nKMMBiGlZM"
33,2022-04-20 01:42:37+00:00,"카카오엔터테인먼트는 웹툰·웹소설 제작 기업 디앤씨미디어 인수 추진 보도에 대해 사실무근이라고 밝혔습니다. 앞서 한 매체는 디앤씨미디어의 2대 주주인 카카오엔터테인먼트가 디앤씨미디어 인수를 추진하고 있다고 보도한 바 있습니다.
https://t.co/7zfWwbORr9"
34,2022-04-20 00:17:21+00:00,"★경제 신문 단어 설명★
개발자 신의 직장 지각변동 - '네카라' 앞에 '몰두센'
'네카라'는 네이버/카카오/라인의 줄임말이에요. 보통 연봉(특히 개발자) 높은 기업을 이야기할 때 많이 쓰이는 '네카라쿠배당토직야'는 네이버/카카오/라인/배달의민족/당근마켓/토스/직방/야놀자의 줄임말이랍니다(계속"
35,2022-04-19 13:57:36+00:00,"@klayNo_1 @inwoo126 메이져 신문사에 뉴스제보해야합니다
SBS 카카오톡 제보하기있습니다
100억개발행해서 체크카드마냥 무한대로 팔아먹어서 재단 배만불리는 행위~  카카오기업의 현실이 이겁니다
국민들은 죽어라사고  카카오는 비웃듯이 팔아재끼고  한재선이라고 해야하나..."
36,2022-04-19 08:27:11+00:00,@anansi1191 골목상권까지 빨아먹는 이거 완전 카카오급 악덕기업
37,2022-04-19 03:07:20+00:00,카카오가 존나 거대기업이긴 하지... 일단 씹뜨억 독점기업이나 다름없는 카도카와 최대주주기도 하고... (쓴웃음)
38,2022-04-19 02:11:38+00:00,"KVINA 해외주식
인도판 삼성·현대차 산다…직접 투자 길 열린다

카카오VIEW 👉 https://t.co/uQLMGhjAYg

#해외 #주식 #주가 #투자 #경제 #시장 #뉴스 #글로벌 #세계 #비즈니스 #기업 #인도 #삼성 #현대차 #직접투자 https://t.co/U2wIo6TzSc"
39,2022-04-19 00:49:32+00:00,"당근마켓이 수수료로 수익을 내는 기업이 아닌 트래픽 장사를 하는 곳이라는 분석을 듣고 약간 머리가 멍하다. 그래 카카오도 그렇게 시작했지. 카카오뱅크, 토스에서 하던 것과 비슷한 유형. 근데 카뱅은 지금 보험도 팔려고 하잖니?
https://t.co/ez5CfOfkiL"
40,2022-04-18 23:19:03+00:00,"정밀의료 영상기기 솔루션 기업 프로이드가 카카오벤처스로부터 시드 투자를 유치했습니다. 이와함께 팁스(TIPS)에도 선정돼 암 수술 중 시행하는 동결조직검사 시간을 획기적으로 단축할 수 있는 의료영상 기기 개발에 박차를 가합니다.
https://t.co/yTjXsXt6kt"
41,2022-04-18 19:40:16+00:00,"카카오 대리운전 갑질 플랫폼 기업 대기업 갑질 대리운전 기사 16년, 센타장  경력자로서 갑질 고발합니다! 훗날 경남대리운전 부산대리운전 비리 갑질보다 더 할 것 분명합니다! !
https://t.co/oUX4y62K65"
42,2022-04-18 11:32:55+00:00,"@G3T0UTB134KCHU 이렇게 멍청해서 꼴페미가 욕먹는거임.

 공대 진학률 90프로 이상이 남자였는데 당연히 삼성 ,엘지 네이버 카카오 같은 고연봉 직장에서 남자를 더많이 뽑는 건 당연한거임. 세계적으로 경쟝해야할 국가를 책임지는기업이 실력 없는데 여자 뽑아줘야할 위무는 없음"
43,2022-04-18 02:31:04+00:00,"KVINA 해외주식
경기침체 걱정할 수준 아냐...주식투자 여전히 괜찮아

카카오VIEW 👉 https://t.co/zOKrT3CsKX

#해외 #주식 #주가 #투자 #경제 #시장 #뉴스 #글로벌 #세계 #비즈니스 #기업 #골드만 #경기침체 #주식투자 #리스트 #국채금리 https://t.co/TeaE8MfClY"
44,2022-04-17 23:09:06+00:00,"&lt;IT·과학&gt; 카카오모빌리티 '스플리트' 전략투자 나선다
&lt;증권&gt; 기업 배당금 10조는 외국인 몫.. 9조 해외유출
&lt;부동산&gt; 힐스테이트 세운 센트럴, 종로 세운지구 429가구 청약

더 자세한 내용은 아래 링크를 참고해주세요.

https://t.co/QhCOGn9p8P"
45,2022-04-17 15:10:47+00:00,"@BUBO_333 산게 아니고, 주식 계좌 새로 뚧으면 1주를 주는 이벤트가 있는데 네이버, 포스코, 카카오 등의 쟁쟁한 기업들을 냅두고 제주맥주가 걸리더라고요."
46,2022-04-17 12:04:18+00:00,"ㅋㅋㅋ......
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ..

NFT 기사 찾아보니 그냥.. 헛웃음만 나옴
로오히랑 쿠키런뿐만 아니라... 여기 있는 것 중에 최소 4개는 아무리 내가 안쓰려해도 안쓸 수가 없는 거잖아.....

NFT 사업 반열에 오른 기업들 : 유튜브 트위터 네이버 카카오 카카오게임즈  .. https://t.co/fnwI8DhafQ"
47,2022-04-16 18:54:07+00:00,"3)
- PFP 기능 외에 멤버십, 할인, 적립 등 NFT를 실생활에 대대적으로 도입한 건 한국의 카카오가 독보적이라며 전 세계 이목 집중.
- 사실상 이런 기능을 독점적으로 혼자 다 할 수 있는 기업은 전 세계에 몇 없음 https://t.co/XwZ8X2y88h"
48,2022-04-16 08:05:44+00:00,카카오 한스타 때는 그래도 퍼블리셔가 한국기업이라고 소과금은 했는데 지금은 못하겠어....
49,2022-04-16 03:15:45+00:00,"카카오 네이버의 국민정보 너무 많이 보유하고 있다
기업들 주민등록번호 사용 보유 못하게 해야한다
모든 인증에서 주민번호 빼야한다"
50,2022-04-16 03:08:25+00:00,"카카오 기업분석과 카카오톡 성공요인분석과 카카오톡 마케팅 SWOT,STP,4P전략분석및 카카오톡 향후전망분석 Up https://t.co/Jwa37ljPVj"
51,2022-04-16 01:41:54+00:00,"전통적 산업군... : 그리고 카카오, 네이버 ( 그냥 해외기업군에 더 좋은게 많음... 국내 투자라면... 포트에는 넣어두기 : 성장 한계가 보임. )"
52,2022-04-16 00:52:54+00:00,"동학개미 뒤통수 친 삼전·카카오…하반기 ‘늦은 봄바람’ 부나 https://t.co/wOuQD07TVl

배당성향뿐 아니라
실질적 주주친화책들 
도입해얄 시점

기업들도 자체개혁 하기
물적분할 이슈도 충분하고.

지금 우리 동학개미들
이전 개미들 아니다."
53,2022-04-15 14:33:25+00:00,@MozoriMoo 카카오톡 1대주주는 김범수(바지느낌..?) 2대주주가 텐센트 라는 중국 (국영) 기업 😅
54,2022-04-15 08:12:46+00:00,"카카오톡의 영역확대가 
무시무시 하구나 
이거 뭐 조만간 
카카오 정부 들어서겠네..
일개 민간기업이 주민등록등본
발급 서비스?
편리함을 가장한
노비화의  시작 아닌가 .. https://t.co/YKUYC9XzuX"
55,2022-04-15 02:21:51+00:00,"KVINA 해외주식
""트위터 사겠다""는 머스크, 월가가 부정적인 이유는

카카오VIEW 👉 https://t.co/X5tDiL3YDq

#해외 #주식 #주가 #투자 #경제 #시장 #뉴스 #글로벌 #세계 #비즈니스 #기업 #머스크 #테슬라 #CEO #트위터 #인수 #합병 #월가 https://t.co/nK1AGpQw1u"
56,2022-04-14 23:17:29+00:00,"[브랜드평판]  IT서비스 상장기업 브랜드 2022년 4월 빅데이터 분석결과...1위 삼성SDS, 2위 카카오페이, 3위 NHN https://t.co/wn49vTBw4Q"
57,2022-04-14 13:26:14+00:00,[#비즈니스피플] 4월3주 #정보보호 및 #보안 주요기업 #채용공고 #카카오 #LG이노텍 #카카오페이 #우아한형제들 #롯데홈쇼핑 https://t.co/NjKKBzYDZz
58,2022-04-14 02:56:18+00:00,"KVINA 해외주식
스타벅스 슐츠 CEO ""직원 보상 확대...노조원은 제외""

카카오VIEW 👉 https://t.co/0wRKnwktse

#해외 #주식 #주가 #투자 #경제 #시장 #뉴스 #글로벌 #세계 #비즈니스 #기업 #스타벅스 #CEO #슐츠 #직원 #보상 #노조 https://t.co/mDBlbSbucS"
59,2022-04-14 00:16:12+00:00,"#Platum #플래텀 
AI 최적화 기술 기업 ‘노타’, 카카오인베스트먼트로부터 투자 유치 
https://t.co/rpWEDJ1ei1 
 
#IT #TECH #테크 
#Trends #트렌드"
